# Contents:,Laser Egg f58c98f3-3e63-477d-9091-f501d45d6c5a 39 hours raw data
# Sent To:,<pvschaikm@gmail.com>
# Generated At:,2025-04-22 09:01
# Time Span:,2025-04-21 09:01 to 2025-04-22 23:59
# Row Count:,389
# Time Zone:,UTC+0100
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),st03.TVOC (ppb),temp (C),Overall Index (US),Primary Pollutant
2025-04-21 11:40:06,0,0,47.93,7,25.12,1,TVOC
2025-04-21 11:41:06,0,0,48.06,34,25.11,7,TVOC
2025-04-21 11:42:06,0,0,48.09,125,25.08,28,TVOC
2025-04-21 11:43:06,0,0,48.13,84,25.08,19,TVOC
2025-04-21 11:44:06,0,0,48.22,39,25.08,9,TVOC
2025-04-21 11:45:06,0,0,48.26,111,25.08,25,TVOC
2025-04-21 11:46:05,0,0,48.25,121,25.07,28,TVOC
2025-04-21 11:47:05,0,0,48.25,52,25.06,12,TVOC
2025-04-21 11:48:05,0,0,48.33,56,25.07,12,TVOC
2025-04-21 11:49:05,0,0,48.31,145,25.07,33,TVOC
2025-04-21 11:50:05,0,0,48.28,95,25.07,22,TVOC
2025-04-21 11:51:06,0,0,48.28,36,25.06,8,TVOC
2025-04-21 11:52:06,0,0,48.32,106,25.07,24,TVOC
2025-04-21 11:53:06,0,0,48.29,110,25.07,25,TVOC
2025-04-21 11:54:06,0,0,48.31,45,25.07,10,TVOC
2025-04-21 11:55:06,0,0,48.34,53,25.08,12,TVOC
2025-04-21 11:56:06,0,0,48.28,94,25.08,21,TVOC
2025-04-21 11:57:06,0,0,48.31,58,25.08,13,TVOC
2025-04-21 11:58:05,1,0,48.36,25,25.09,5,TVOC
2025-04-21 11:59:05,0,0,48.4,88,25.1,20,TVOC
2025-04-21 12:00:05,0,0,48.34,108,25.11,25,TVOC
2025-04-21 12:01:05,0,0,48.29,65,25.11,15,TVOC
2025-04-21 12:02:05,0,0,48.3,32,25.12,7,TVOC
2025-04-21 12:03:05,0,0,48.31,104,25.13,24,TVOC
2025-04-21 12:04:04,0,0,48.24,57,25.14,13,TVOC
2025-04-21 12:05:04,0,0,48.18,20,25.15,4,TVOC
2025-04-21 12:06:04,0,0,48.22,33,25.16,7,TVOC
2025-04-21 12:07:04,0,0,48.19,102,25.16,23,TVOC
2025-04-21 12:08:04,0,0,48.16,61,25.18,14,TVOC
2025-04-21 12:09:04,0,0,48.18,27,25.18,6,TVOC
2025-04-21 12:10:04,0,0,48.2,92,25.19,21,TVOC
2025-04-21 12:11:04,0,0,48.17,75,25.19,17,TVOC
2025-04-21 12:12:04,1,0,48.2,21,25.2,4,TVOC
2025-04-21 12:13:04,2,2,48.25,63,25.21,14,TVOC
2025-04-21 12:14:04,2,2,48.21,88,25.22,20,TVOC
2025-04-21 12:15:04,3,3,48.22,35,25.22,12,PM2.5
2025-04-21 12:16:03,4,3,48.25,54,25.24,12,PM2.5
2025-04-21 12:17:03,4,3,48.22,99,25.24,22,TVOC
2025-04-21 12:18:03,5,3,48.17,45,25.25,12,PM2.5
2025-04-21 12:19:03,3,3,48.17,28,25.26,12,PM2.5
2025-04-21 12:20:03,3,3,48.16,89,25.27,20,TVOC
2025-04-21 12:21:03,4,3,48.12,52,25.27,12,PM2.5
2025-04-21 12:22:03,5,4,48.37,181,25.29,41,TVOC
2025-04-21 12:23:03,4,2,48.87,465,25.3,78,TVOC
2025-04-21 12:24:03,4,3,48.5,361,25.3,67,TVOC
2025-04-21 12:25:03,0,0,48.28,185,25.31,42,TVOC
2025-04-21 12:26:03,3,2,48.27,114,25.32,26,TVOC
2025-04-21 12:27:02,1,0,48.25,93,25.32,21,TVOC
2025-04-21 12:28:02,0,0,48.05,51,25.34,11,TVOC
2025-04-21 12:29:02,1,1,48.02,35,25.35,8,TVOC
2025-04-21 12:30:02,2,2,48.27,112,25.38,25,TVOC
2025-04-21 12:31:03,3,2,48.01,92,25.4,21,TVOC
2025-04-21 12:32:03,1,1,47.91,84,25.41,19,TVOC
2025-04-21 12:33:03,0,0,48.18,140,25.43,32,TVOC
2025-04-21 12:34:03,1,0,48.14,154,25.45,35,TVOC
2025-04-21 12:35:03,1,0,48.16,111,25.46,25,TVOC
2025-04-21 12:36:02,2,0,48.24,86,25.48,19,TVOC
2025-04-21 12:37:02,0,0,48.09,59,25.49,13,TVOC
2025-04-21 12:38:02,0,0,48,29,25.5,6,TVOC
2025-04-21 12:39:02,0,0,48.05,16,25.52,3,TVOC
2025-04-21 12:40:02,0,0,48.11,8,25.53,1,TVOC
2025-04-21 12:41:02,0,0,48.12,0,25.55,0,PM10
2025-04-21 12:42:02,0,0,47.82,0,25.58,0,PM10
2025-04-21 12:43:02,0,0,47.98,1,25.61,0,PM10
2025-04-21 12:44:02,0,0,47.82,1,25.62,0,PM10
2025-04-21 12:45:02,0,0,47.75,0,25.64,0,PM10
2025-04-21 12:46:02,0,0,48.16,4,25.67,0,PM10
2025-04-21 12:47:01,1,0,48.4,9,25.68,2,TVOC
2025-04-21 12:48:01,0,0,48,4,25.68,0,PM10
2025-04-21 12:49:01,0,0,48.12,1,25.7,0,PM10
2025-04-21 12:50:01,0,0,47.89,9,25.71,2,TVOC
2025-04-21 12:51:01,0,0,47.8,1,25.71,0,PM10
2025-04-21 12:52:01,0,0,47.85,1,25.73,0,PM10
2025-04-21 12:53:01,0,0,47.85,19,25.75,4,TVOC
2025-04-21 12:54:01,0,0,47.8,27,25.76,6,TVOC
2025-04-21 12:55:01,0,0,47.81,19,25.77,4,TVOC
2025-04-21 12:56:01,0,0,47.76,1,25.77,0,PM10
2025-04-21 12:57:01,0,0,47.49,1,25.78,0,PM10
2025-04-21 12:58:01,0,0,47.5,5,25.77,1,TVOC
2025-04-21 12:59:01,0,0,47.63,3,25.78,0,PM10
2025-04-21 13:00:00,0,0,47.65,5,25.79,1,TVOC
2025-04-21 13:01:01,0,0,47.62,25,25.78,5,TVOC
2025-04-21 13:02:01,0,0,47.69,5,25.78,1,TVOC
2025-04-21 13:03:01,0,0,47.6,5,25.79,1,TVOC
2025-04-21 13:04:01,0,0,47.51,12,25.8,2,TVOC
2025-04-21 13:05:01,0,0,47.52,5,25.81,1,TVOC
2025-04-21 13:06:01,0,0,47.62,4,25.82,0,PM10
2025-04-21 13:07:01,0,0,47.65,23,25.85,5,TVOC
2025-04-21 13:08:01,0,0,47.64,2,25.85,0,PM10
2025-04-21 13:09:00,0,0,47.44,2,25.87,0,PM10
2025-04-21 13:10:00,0,0,47.55,18,25.87,4,TVOC
2025-04-21 13:11:00,0,0,47.4,26,25.88,6,TVOC
2025-04-21 13:12:00,0,0,47.28,6,25.88,1,TVOC
2025-04-21 13:13:00,0,0,47.27,13,25.88,3,TVOC
2025-04-21 13:14:00,0,0,47.18,14,25.9,3,TVOC
2025-04-21 13:15:00,0,0,46.86,2,25.91,0,PM10
2025-04-21 13:15:59,0,0,46.81,3,25.92,0,PM10
2025-04-21 13:16:59,0,0,46.68,30,25.95,6,TVOC
2025-04-21 13:17:59,0,0,46.69,41,25.97,9,TVOC
2025-04-21 13:18:59,0,0,46.66,11,25.98,2,TVOC
2025-04-21 13:19:59,0,0,46.76,8,25.98,1,TVOC
2025-04-21 13:21:00,0,0,46.83,0,25.98,0,PM10
2025-04-21 13:22:00,1,0,46.61,0,25.96,0,PM10
2025-04-21 13:23:00,0,0,46.9,0,25.93,0,PM10
2025-04-21 15:42:16,,,46.32,,24.13,,
2025-04-21 15:43:16,1,1,47.78,,23.97,4,PM2.5
2025-04-21 15:44:16,2,2,50.19,,23.13,8,PM2.5
2025-04-21 15:45:16,3,2,51.2,,22.75,8,PM2.5
2025-04-21 15:46:16,4,3,52.07,,22.54,12,PM2.5
2025-04-21 15:47:16,2,2,52.97,,22.44,8,PM2.5
2025-04-21 15:48:16,3,1,53.41,4,22.4,4,PM2.5
2025-04-21 15:49:15,3,3,53.45,2,22.4,12,PM2.5
2025-04-21 15:50:15,3,3,53.64,1,22.43,12,PM2.5
2025-04-21 15:51:15,2,2,54.11,4,22.47,8,PM2.5
2025-04-21 15:52:15,1,1,53.4,8,22.51,4,PM2.5
2025-04-21 15:53:15,3,2,53.27,7,22.58,8,PM2.5
2025-04-21 15:54:15,1,1,53.6,11,22.64,4,PM2.5
2025-04-21 15:55:15,3,2,53.09,15,22.71,8,PM2.5
2025-04-21 15:56:15,3,2,53.28,4,22.79,8,PM2.5
2025-04-21 15:57:14,4,3,53.39,3,22.86,12,PM2.5
2025-04-21 15:58:14,3,3,53.42,8,22.93,12,PM2.5
2025-04-21 15:59:14,3,1,52.83,13,22.99,4,PM2.5
2025-04-21 16:00:14,3,2,52.81,14,23.06,8,PM2.5
2025-04-21 16:01:14,3,1,53.16,21,23.13,4,PM2.5
2025-04-21 16:02:15,2,2,52.61,31,23.19,8,PM2.5
2025-04-21 16:03:15,2,1,52.6,21,23.25,4,PM2.5
2025-04-21 16:04:15,1,1,52.76,43,23.31,9,TVOC
2025-04-21 16:05:14,1,1,52.54,39,23.37,9,TVOC
2025-04-21 16:06:14,3,2,52.55,26,23.44,8,PM2.5
2025-04-21 16:07:14,2,2,52.55,37,23.5,8,PM2.5
2025-04-21 16:08:14,1,1,52.45,41,23.54,9,TVOC
2025-04-21 16:09:14,2,2,52.55,31,23.6,8,PM2.5
2025-04-21 16:10:14,2,1,52.74,33,23.66,7,TVOC
2025-04-21 16:11:14,3,3,52.72,43,23.69,12,PM2.5
2025-04-21 16:12:14,2,2,52.68,38,23.74,8,PM2.5
2025-04-21 16:13:14,3,3,52.89,25,23.8,12,PM2.5
2025-04-21 16:14:14,4,3,52.82,24,23.85,12,PM2.5
2025-04-21 16:15:14,3,3,52.64,28,23.9,12,PM2.5
2025-04-21 16:16:13,3,2,52.52,33,23.94,8,PM2.5
2025-04-21 16:17:13,2,2,52.58,63,23.98,14,TVOC
2025-04-21 16:18:13,3,3,52.49,64,24.02,14,TVOC
2025-04-21 16:19:13,3,3,52.58,48,24.06,12,PM2.5
2025-04-21 16:20:13,4,3,52.6,69,24.1,15,TVOC
2025-04-21 16:21:13,2,2,52.54,87,24.14,20,TVOC
2025-04-21 16:22:13,4,4,52.69,63,24.18,16,PM2.5
2025-04-21 16:23:13,4,3,52.65,56,24.21,12,PM2.5
2025-04-21 16:24:13,3,3,52.79,78,24.26,18,TVOC
2025-04-21 16:48:43,,,47.32,,26.23,,
2025-04-21 16:49:43,3,3,47.5,,26.1,12,PM2.5
2025-04-21 16:50:43,3,3,50.59,1,25.05,12,PM2.5
2025-04-21 16:51:43,3,3,52,1,24.64,12,PM2.5
2025-04-21 16:52:43,4,4,52.94,0,24.4,16,PM2.5
2025-04-21 16:53:43,4,4,53.33,8,24.25,16,PM2.5
2025-04-21 16:54:42,3,1,53.64,22,24.18,5,TVOC
2025-04-21 16:55:42,3,2,53.84,9,24.15,8,PM2.5
2025-04-21 16:56:42,3,3,53.84,3,24.14,12,PM2.5
2025-04-21 16:57:42,1,1,53.82,18,24.16,4,PM2.5
2025-04-21 21:23:32,,,48.73,,25.99,,
2025-04-21 21:24:32,5,4,48.58,,25.82,16,PM2.5
2025-04-21 21:25:32,6,6,51.04,,24.87,25,PM2.5
2025-04-21 21:26:32,8,7,51.67,,24.37,29,PM2.5
2025-04-21 21:27:32,5,5,52.67,,24.07,21,PM2.5
2025-04-21 21:28:32,7,6,52.99,,23.87,25,PM2.5
2025-04-21 21:29:32,8,8,53.78,2,23.74,33,PM2.5
2025-04-21 21:30:31,8,8,53.97,2,23.67,33,PM2.5
2025-04-21 21:31:31,9,8,54.08,4,23.62,33,PM2.5
2025-04-21 21:32:31,7,6,54.01,3,23.6,25,PM2.5
2025-04-21 21:33:31,7,7,54.15,2,23.59,29,PM2.5
2025-04-21 21:34:31,10,9,54.18,2,23.57,37,PM2.5
2025-04-21 21:35:31,8,7,54.83,11,23.57,29,PM2.5
2025-04-21 21:36:31,6,6,54.9,21,23.61,25,PM2.5
2025-04-21 21:37:31,5,5,54.92,28,23.68,21,PM2.5
2025-04-21 21:38:31,4,4,54.86,35,23.77,16,PM2.5
2025-04-21 21:39:30,5,5,55.15,41,23.86,21,PM2.5
2025-04-21 21:40:30,4,4,54.84,35,23.95,16,PM2.5
2025-04-21 21:41:30,4,3,54.71,29,24.05,12,PM2.5
2025-04-21 21:42:30,4,4,54.77,36,24.14,16,PM2.5
2025-04-21 21:43:30,3,3,54.71,36,24.22,12,PM2.5
2025-04-21 21:44:30,3,3,54.55,22,24.31,12,PM2.5
2025-04-21 21:45:30,4,4,54.44,22,24.38,16,PM2.5
2025-04-21 21:46:30,4,3,54.6,29,24.46,12,PM2.5
2025-04-21 21:47:30,3,3,54.54,26,24.52,12,PM2.5
2025-04-21 21:48:29,4,4,54.29,16,24.59,16,PM2.5
2025-04-21 21:49:29,4,3,54.26,16,24.66,12,PM2.5
2025-04-21 21:50:29,4,4,54.45,19,24.71,16,PM2.5
2025-04-21 21:51:29,3,2,54.17,10,24.77,8,PM2.5
2025-04-21 21:52:29,3,2,54.06,4,24.82,8,PM2.5
2025-04-21 21:53:29,2,2,54.21,11,24.87,8,PM2.5
2025-04-21 21:54:29,3,3,54.04,7,24.92,12,PM2.5
2025-04-21 21:55:29,2,2,53.89,2,24.96,8,PM2.5
2025-04-21 21:56:29,1,1,53.86,6,25.01,4,PM2.5
2025-04-21 21:57:29,3,1,53.98,10,25.05,4,PM2.5
2025-04-21 21:58:28,4,3,53.74,1,25.09,12,PM2.5
2025-04-21 21:59:28,3,1,53.65,2,25.13,4,PM2.5
2025-04-21 22:00:28,2,2,53.63,12,25.18,8,PM2.5
2025-04-21 22:01:28,2,2,53.92,14,25.21,8,PM2.5
2025-04-21 22:02:28,3,3,53.57,8,25.24,12,PM2.5
2025-04-21 22:03:28,3,3,53.47,0,25.29,12,PM2.5
2025-04-21 22:04:28,3,3,53.28,3,25.33,12,PM2.5
2025-04-21 22:05:28,3,3,53.31,3,25.37,12,PM2.5
2025-04-21 22:06:28,3,3,53.38,4,25.4,12,PM2.5
2025-04-21 22:07:28,3,1,53.58,8,25.43,4,PM2.5
2025-04-21 22:08:28,2,2,53.15,6,25.45,8,PM2.5
2025-04-21 22:09:27,2,2,53.03,7,25.48,8,PM2.5
2025-04-21 22:10:27,1,1,53.45,14,25.5,4,PM2.5
2025-04-21 22:11:27,3,3,53.01,11,25.52,12,PM2.5
2025-04-21 22:12:27,4,3,52.88,3,25.55,12,PM2.5
2025-04-21 22:13:27,4,3,52.85,13,25.58,12,PM2.5
2025-04-21 22:14:27,2,2,53.05,11,25.6,8,PM2.5
2025-04-21 22:15:27,3,3,52.8,6,25.62,12,PM2.5
2025-04-21 22:16:27,4,3,52.71,3,25.66,12,PM2.5
2025-04-21 22:17:27,3,2,53.12,9,25.67,8,PM2.5
2025-04-21 22:18:27,4,3,52.75,4,25.7,12,PM2.5
2025-04-21 22:19:27,2,2,52.59,1,25.72,8,PM2.5
2025-04-21 22:20:27,1,1,52.34,2,25.73,4,PM2.5
2025-04-21 22:21:26,2,2,52.47,2,25.75,8,PM2.5
2025-04-21 22:22:26,2,2,52.31,3,25.77,8,PM2.5
2025-04-21 22:23:27,2,2,52.27,5,25.8,8,PM2.5
2025-04-21 22:24:27,3,3,52.58,13,25.81,12,PM2.5
2025-04-21 22:25:27,1,1,52.24,10,25.83,4,PM2.5
2025-04-21 22:26:27,4,3,52.16,4,25.85,12,PM2.5
2025-04-21 22:27:27,2,2,52.26,17,25.86,8,PM2.5
2025-04-21 22:28:26,3,3,52.21,9,25.88,12,PM2.5
2025-04-21 22:29:26,1,1,52.09,1,25.9,4,PM2.5
2025-04-21 22:30:26,3,3,52.09,11,25.91,12,PM2.5
2025-04-21 22:31:26,3,3,52.18,12,25.93,12,PM2.5
2025-04-21 22:32:26,1,1,52.03,1,25.94,4,PM2.5
2025-04-21 22:33:26,1,0,52.02,5,25.95,1,TVOC
2025-04-21 22:34:26,1,1,52.15,15,25.98,4,PM2.5
2025-04-21 22:35:26,3,3,51.98,11,25.99,12,PM2.5
2025-04-21 22:36:26,2,2,51.97,1,26,8,PM2.5
2025-04-21 22:37:25,1,1,51.97,3,26.02,4,PM2.5
2025-04-21 22:38:25,0,0,51.92,3,26.03,0,PM10
2025-04-21 22:39:25,1,1,51.77,1,26.05,4,PM2.5
2025-04-21 22:40:25,3,2,51.72,5,26.07,8,PM2.5
2025-04-21 22:41:25,2,2,52.01,7,26.07,8,PM2.5
2025-04-21 22:42:25,2,2,51.64,3,26.09,8,PM2.5
2025-04-21 22:43:25,2,0,51.51,3,26.1,1,PM10
2025-04-22 08:40:29,0,0,58.02,4,19,0,PM10
2025-04-22 08:41:29,0,0,58.71,4,18.83,0,PM10
2025-04-22 08:42:29,0,0,58.64,7,18.84,1,TVOC
2025-04-22 08:43:29,0,0,58.66,2,18.84,0,PM10
2025-04-22 08:44:29,0,0,58.63,3,18.83,0,PM10
2025-04-22 08:45:29,0,0,58.8,5,18.83,1,TVOC
2025-04-22 08:46:28,0,0,58.84,6,18.83,1,TVOC
2025-04-22 08:47:28,0,0,58.87,3,18.83,0,PM10
2025-04-22 08:48:28,0,0,58.66,3,18.83,0,PM10
2025-04-22 08:49:28,0,0,58.7,3,18.84,0,PM10
2025-04-22 08:50:28,0,0,58.79,7,18.83,1,TVOC
2025-04-22 08:51:28,0,0,58.73,8,18.84,1,TVOC
2025-04-22 08:52:28,0,0,58.87,4,18.84,0,PM10
2025-04-22 08:53:28,0,0,58.9,1,18.84,0,PM10
2025-04-22 08:54:27,0,0,59.04,2,18.83,0,PM10
2025-04-22 08:55:27,0,0,59.06,2,18.83,0,PM10
2025-04-22 08:56:27,0,0,59.09,3,18.83,0,PM10
2025-04-22 08:57:27,0,0,59.19,5,18.83,1,TVOC
2025-04-22 08:58:27,0,0,59.11,4,18.82,0,PM10
2025-04-22 08:59:27,0,0,59.17,2,18.81,0,PM10
2025-04-22 09:00:27,0,0,59.33,2,18.81,0,PM10
